comando
depositar;1001;500
sacar;1001;200
saldo;1001;
depositar;1002;800
sacar;1002;100
saldo;1002;
depositar;1003;300
sacar;1003;50
saldo;1003;
depositar;1004;1000
sacar;1004;200
saldo;1004;
depositar;1005;600
sacar;1005;150
saldo;1005;
depositar;1006;450
sacar;1006;200
saldo;1006;
depositar;1007;700
sacar;1007;100
saldo;1007;
depositar;1008;900
sacar;1008;250
saldo;1008;
depositar;1009;300
sacar;1009;100
saldo;1009;
depositar;1010;400
sacar;1010;150
saldo;1010;
depositar;1011;500
sacar;1011;100
saldo;1011;
depositar;1012;600
sacar;1012;200
saldo;1012;
depositar;1013;700
sacar;1013;300
saldo;1013;
depositar;1014;800
sacar;1014;400
saldo;1014;
depositar;1015;900
sacar;1015;500
saldo;1015;
depositar;1016;1000
sacar;1016;600
saldo;1016;
depositar;1017;750
sacar;1017;300
saldo;1017;
depositar;1018;850
sacar;1018;350
saldo;1018;
depositar;1019;950
sacar;1019;400
saldo;1019;
depositar;1020;1050
sacar;1020;500
saldo;1020;
