comando
criar;1001;Ana Silva
criar;1002;Bruno Souza
criar;1003;Camila Oliveira
criar;1004;Daniel Costa
criar;1005;Elisa Ramos
criar;1006;Felipe Almeida
criar;1007;Gabriela Rocha
criar;1008;Hugo Martins
criar;1009;Isabela Nunes
criar;1010;João Pedro
criar;1011;Karina Duarte
criar;1012;Lucas Moura
criar;1013;Mariana Lima
criar;1014;Nicolas Pinto
criar;1015;Olívia Torres
criar;1016;Paulo Azevedo
criar;1017;Quésia Fernandes
criar;1018;Ricardo Melo
criar;1019;Sofia Ribeiro
criar;1020;Tiago Moreira
criar;1021;Ursula Farias
criar;1022;Victor Lopes
criar;1023;Wesley Carvalho
criar;1024;Xuxa Lima
criar;1025;Yasmin Andrade
criar;1026;Zeca Barreto
criar;1027;Alan Teixeira
criar;1028;Bianca Neves
criar;1029;Caio Gomes
criar;1030;Diana Freitas
